,useful,funny,cool
0,69090,7892,1379
1,0,0,0
2,43155,5725,1075
3,35593,5198,849
4,27482,5071,852
5,26831,3795,909
6,25603,3523,759
7,25625,2809,736
8,25039,2421,469
9,24283,2563,677
10,22369,2673,313
11,21341,2549,688
12,21160,2276,802
13,20153,2316,660
14,18428,2046,398
15,18168,1989,468
16,18247,1637,543
17,16430,1472,366
18,15696,2032,333
19,15526,1813,530
20,16174,976,374
21,15839,1414,187
22,15166,1736,331
23,15128,1464,477
24,14245,2292,366
25,14111,2310,345
26,14656,1652,293
27,14310,1110,553
28,14079,1542,296
29,13714,1336,193
30,13156,988,622
31,12195,1903,336
32,11762,1614,341
33,11353,1875,291
34,11708,1249,336
35,12092,866,101
36,10944,1060,303
37,10693,1172,404
38,10830,1175,260
39,10676,919,309
40,10361,1208,191
41,10300,1139,309
42,10256,1184,179
43,9911,1380,307
44,9853,944,224
45,9674,1082,190
46,9435,1155,289
47,9725,809,229
48,9233,1285,240
49,9643,954,149
50,9323,1070,219
51,9071,960,271
52,9177,673,238
53,8559,1094,358
54,8789,986,124
55,8909,871,82
56,8193,1365,298
57,8600,859,355
58,8183,1004,497
59,8425,823,161
60,8290,943,147
61,7985,1114,241
62,7764,1326,248
63,8357,609,318
64,7876,893,188
65,7563,1056,249
66,7886,783,170
67,7263,1294,271
68,7392,1102,199
69,7094,1203,269
70,7648,655,226
71,6974,1173,352
72,7115,887,259
73,7123,841,262
74,7199,640,208
75,6867,960,175
76,7185,663,148
77,6887,770,304
78,7177,571,189
79,7176,548,96
80,6644,825,226
81,6584,826,160
82,6472,768,214
83,6436,820,143
84,6346,846,206
85,6386,784,165
86,6220,633,235
87,6398,488,189
88,6130,689,252
89,6049,778,190
90,5906,921,158
91,5828,810,187
92,5964,645,163
93,6097,459,208
94,6121,384,244
95,5882,631,225
96,5846,681,189
97,5544,966,117
98,5190,1257,102
99,5553,816,174
100,5868,463,186
101,6034,292,190
102,5559,786,102
103,5625,572,225
104,5642,569,205
105,5556,606,238
106,5772,423,196
107,5468,589,154
108,5249,770,183
109,5570,354,251
110,5274,719,166
111,5174,777,179
112,5267,711,132
113,5583,335,176
114,5278,476,178
115,5106,636,156
116,5298,405,190
117,5211,456,203
118,5180,427,186
119,5019,599,117
120,5189,433,82
121,4907,677,95
122,4922,608,98
123,5205,357,64
124,4770,654,131
125,4813,584,139
126,4899,507,126
127,4712,689,90
128,0,4257,2310
